distance_kpc,ra_center,dec_center,radius_deg,radius_pc,n_members,source_file
1.2589254117941673,301.539366508185,-69.37021296404511,0.3063906530287277,6.732135984745663,174,cluster_d1.26kpc_ra301.5394_dec-69.3702_id3.csv
1.2589254117941673,299.3788436947031,-68.98161879568957,0.42898686467019737,9.425868185210826,354,cluster_d1.26kpc_ra299.3788_dec-68.9816_id4.csv
1.2589254117941673,297.15327359733504,-68.72044802511347,0.35581908785750266,7.818197003549822,209,cluster_d1.26kpc_ra297.1533_dec-68.7204_id5.csv
1.2589254117941673,297.89667933971714,-67.23740413591125,0.4717509706723518,10.36549794880413,351,cluster_d1.26kpc_ra297.8967_dec-67.2374_id6.csv
1.2589254117941673,298.2722868564975,-63.89944730044224,0.31197496547007697,6.85483669498223,177,cluster_d1.26kpc_ra298.2723_dec-63.8994_id7.csv
1.2589254117941673,296.9442295830318,-63.876468170988886,0.3216159389562621,7.066671957881847,176,cluster_d1.26kpc_ra296.9442_dec-63.8765_id8.csv
1.2589254117941673,298.1883168497405,-61.36620683692194,0.33424692014363516,7.344204846478767,194,cluster_d1.26kpc_ra298.1883_dec-61.3662_id9.csv
1.2589254117941673,299.19577666501164,-60.27359146454156,0.45971888116958703,10.101124143949033,328,cluster_d1.26kpc_ra299.1958_dec-60.2736_id10.csv
1.2589254117941673,297.18825689461977,-58.61164456394431,0.4402886191837845,9.674194782316736,324,cluster_d1.26kpc_ra297.1883_dec-58.6116_id11.csv
1.2589254117941673,299.7182271877075,-57.85462243016207,0.32336630344913186,7.105131655240058,180,cluster_d1.26kpc_ra299.7182_dec-57.8546_id12.csv
1.2589254117941673,300.6974223162518,-56.20878872959413,0.40958990522600336,8.9996705601264,260,cluster_d1.26kpc_ra300.6974_dec-56.2088_id13.csv
1.2589254117941673,298.7768642684332,-56.48606575813018,0.4170700465144043,9.164027167747534,293,cluster_d1.26kpc_ra298.7769_dec-56.4861_id14.csv
1.2589254117941673,297.7358573704974,-55.116530401076915,0.4047289451305106,8.892863632252489,291,cluster_d1.26kpc_ra297.7359_dec-55.1165_id15.csv
1.2589254117941673,300.9725074770714,-53.610219230171985,0.3003191733960496,6.598731045294163,174,cluster_d1.26kpc_ra300.9725_dec-53.6102_id16.csv
1.2589254117941673,297.9103556779828,-53.79888452938407,0.47596666486821665,10.458126840436815,371,cluster_d1.26kpc_ra297.9104_dec-53.7989_id17.csv
1.2589254117941673,298.93104757109336,-50.85507188900548,0.4798961677952045,10.544467424901244,312,cluster_d1.26kpc_ra298.9310_dec-50.8551_id18.csv
1.2589254117941673,302.08128398509734,-47.04720761429121,0.3078053154908794,6.763219504995308,174,cluster_d1.26kpc_ra302.0813_dec-47.0472_id19.csv
1.2589254117941673,303.8081304620061,-44.001992821534415,0.31587582567867234,6.940547930368006,190,cluster_d1.26kpc_ra303.8081_dec-44.0020_id20.csv
1.2589254117941673,300.20721748814447,-43.52923940689028,0.3455014890818494,7.591494663556342,222,cluster_d1.26kpc_ra300.2072_dec-43.5292_id21.csv
1.2589254117941673,300.68131968089256,-41.9746521617439,0.8329053458266321,18.300923984129366,799,cluster_d1.26kpc_ra300.6813_dec-41.9747_id22.csv
1.2589254117941673,301.3203446338505,-39.53794860255692,0.7731126516757459,16.98713538144529,583,cluster_d1.26kpc_ra301.3203_dec-39.5379_id23.csv
1.2589254117941673,302.48432492326964,-36.59084002813702,0.4616921536345201,10.14448166297765,308,cluster_d1.26kpc_ra302.4843_dec-36.5908_id24.csv
1.2589254117941673,302.63333517506766,-33.85164445801206,0.324654481658436,7.133436013718019,199,cluster_d1.26kpc_ra302.6333_dec-33.8516_id25.csv
1.2589254117941673,305.28825875332444,-30.446147771120746,0.3318229910965454,7.29094532370588,193,cluster_d1.26kpc_ra305.2883_dec-30.4461_id26.csv
1.2589254117941673,306.3897095691706,-28.499682851114798,0.41300349212499415,9.074675234624735,303,cluster_d1.26kpc_ra306.3897_dec-28.4997_id27.csv
1.2589254117941673,306.45052709879553,-25.761656140585167,0.8787087797131914,19.30733505589177,565,cluster_d1.26kpc_ra306.4505_dec-25.7617_id28.csv
1.2589254117941673,305.79273245465544,-24.573436775102753,0.4634479114237204,10.183059863964953,372,cluster_d1.26kpc_ra305.7927_dec-24.5734_id29.csv
1.2589254117941673,307.5772046303737,-22.891719360840913,0.3103093197574051,6.8182384719970655,177,cluster_d1.26kpc_ra307.5772_dec-22.8917_id30.csv
