Simbad_Name,Simbad_Type,Simbad_Dist_kpc,RA_center,Dec_center,Our_Dist_kpc,Our_Radius_pc,Members,Source_File
[CHM2007] LDC 1422,GrG,Unknown,312.4269,-9.1786,1.0,10.95,476,cluster_d1.00kpc_ra312.4269_dec-9.1786_id45.csv
[FWB89] GrG  77,GrG,Unknown,297.6811,-55.6441,1.122018454301964,15.26,628,cluster_d1.12kpc_ra297.6811_dec-55.6441_id18.csv
[FWB89] GrG 241,GrG,Unknown,300.6974,-56.2088,1.2589254117941673,9.0,260,cluster_d1.26kpc_ra300.6974_dec-56.2088_id13.csv
[KPS2012] MWSC 4545,OpC,Unknown,300.5008,-49.3907,1.0,17.65,621,cluster_d1.00kpc_ra300.5008_dec-49.3907_id20.csv
[LH2011] 3442,GrG,Unknown,297.7359,-55.1165,1.2589254117941673,8.89,291,cluster_d1.26kpc_ra297.7359_dec-55.1165_id15.csv
[LH2011] 4175,GrG,Unknown,310.7883,-14.6927,1.0,22.54,1085,cluster_d1.00kpc_ra310.7883_dec-14.6927_id42.csv
[LH2011] 4417,GrG,Unknown,307.62514999999996,-22.9295,"1.0, 1.2589254117941673",7.93,"367, 177",cluster_d1.00kpc_ra307.6731_dec-22.9673_id36.csv | cluster_d1.26kpc_ra307.5772_dec-22.8917_id30.csv
[LH2011] 4527,GrG,Unknown,301.1848,-43.1483,1.0,49.66,4348,cluster_d1.00kpc_ra301.1848_dec-43.1483_id25.csv
[LH2011] 4706,GrG,Unknown,306.4505,-25.7617,1.2589254117941673,19.31,565,cluster_d1.26kpc_ra306.4505_dec-25.7617_id28.csv
[LH2011] 4969,GrG,Unknown,297.1883,-58.6116,1.2589254117941673,9.67,324,cluster_d1.26kpc_ra297.1883_dec-58.6116_id11.csv
[SMD2013] HIPASS J1956-50,GrG,Unknown,298.58805,-50.49525,"1.0, 1.122018454301964",10.07,"257, 544",cluster_d1.00kpc_ra298.5876_dec-50.3559_id19.csv | cluster_d1.12kpc_ra298.5885_dec-50.6346_id23.csv
[SPD2011] 15845,ClG,Unknown,313.809,-7.5073,1.0,9.94,375,cluster_d1.00kpc_ra313.8090_dec-7.5073_id46.csv
[SPD2011] 39137,ClG,Unknown,313.9359,-6.1264,1.122018454301964,8.02,292,cluster_d1.12kpc_ra313.9359_dec-6.1264_id50.csv
[T2015] nest 200591,GrG,Unknown,299.64390000000003,-47.98205,"1.0, 1.122018454301964",21.979999999999997,"1274, 1316",cluster_d1.00kpc_ra299.7542_dec-47.7930_id22.csv | cluster_d1.12kpc_ra299.5336_dec-48.1711_id24.csv
[TKK2018] 6611,GrG,Unknown,299.5539,-52.2913,1.0,6.7,217,cluster_d1.00kpc_ra299.5539_dec-52.2913_id17.csv
[VMF98] 198,ClG,Unknown,301.3011,-56.1482,1.122018454301964,6.81,194,cluster_d1.12kpc_ra301.3011_dec-56.1482_id17.csv
